timestamp,;location_id;traffic_volume;avg_vehicle_speed;vehicle_count_cars;vehicle_count_trucks;vehicle_count_bikes;weather_condition;temperature;humidity;accident_reported;signal_status;
01/01/2024;00.23.00;1;508;6.692.092.009.597.800;387;55;39;Cloudy;24.484.493.183.698.700;52.604.324.719.857.200;0;Green
01/01/2024;00.24.00;1;329;5.262.834.367.197.420;272;42;11;Windy;15.056.929.527.266.700;7.175.330.146.071.410;0;Yellow
01/01/2024;00.25.00;3;749;2.599.200.926.817.060;336;88;13;Windy;16.756.221.876.542.800;45.155.705.587.148.000;0;Green
01/01/2024;00.26.00;3;351;6.128.266.663.016.080;434;33;43;Rainy;22.616.026.398.701.800;8.746.224.642.038.920;0;Green
01/01/2024;00.27.00;2;580;34.513.333.013.248.700;114;29;9;Cloudy;3.438.923.658.390.200;31.809.682.290.410.300;0;Red
01/01/2024;00.28.00;4;629;7.466.412.216.604.300;804;70;19;Foggy;25.406.762.230.229.700;8.748.523.125.524.530;0;Yellow
01/01/2024;00.29.00;4;267;7.029.592.157.274.220;43;69;14;Sunny;3.340.370.261.282.550;43.005.832.080.624;0;Red
01/01/2024;00.30.00;3;151;6.256.297.802.524.340;647;54;30;Cloudy;33.984.496.359.673.600;329.293.225.155.222;0;Yellow
01/01/2024;00.31.00;4;603;7.693.075.734.986.780;682;66;6;Foggy;15.202.749.910.512.600;4.754.844.199.341.340;0;Yellow
01/01/2024;00.32.00;4;337;21.885.309.290.676.300;869;12;40;Cloudy;1.777.984.006.172.360;7.717.693.843.741.350;0;Yellow
01/01/2024;00.33.00;1;216;6.417.202.550.364.570;69;2;9;Foggy;29.249.807.030.467.600;751.465.203.868.832;0;Green
01/01/2024;00.34.00;3;670;3.981.456.676.018.430;521;25;9;Foggy;31.669.100.057.283.500;42.530.424.985.367.500;0;Red
01/01/2024;00.35.00;5;85;7.436.395.314.118.190;737;56;47;Cloudy;2.298.066.860.473.810;4.180.740.801.550.790;0;Yellow
01/01/2024;00.36.00;3;793;3.600.051.179.971.860;517;23;38;Rainy;3.483.065.168.201.370;6.855.479.494.827.240;0;Yellow
01/01/2024;00.37.00;5;790;63.491.389.958.901.000;354;52;27;Cloudy;10.289.304.968.881.700;5.748.496.138.054.380;0;Yellow
01/01/2024;00.38.00;1;402;7.265.882.117.904.680;98;69;29;Cloudy;1.748.981.638.963.030;7.753.739.719.985.410;0;Red
01/01/2024;00.39.00;2;725;22.499.409.102.960.900;601;42;36;Foggy;25.579.043.843.614.400;31.447.966.721.553.200;0;Yellow
01/01/2024;00.40.00;4;948;4.385.885.477.552.210;46;59;2;Sunny;21.732.247.773.437.000;6.662.471.164.563.420;0;Red
01/01/2024;00.41.00;1;122;6.573.854.192.131.630;290;57;49;Foggy;1.291.507.416.072.000;7.384.032.073.439.250;0;Red
01/01/2024;00.42.00;4;697;47.295.133.370.455.200;581;48;42;Windy;1.919.467.713.701.400;8.960.316.672.172.010;0;Green
01/01/2024;00.43.00;2;402;3.603.515.778.761.570;823;41;14;Cloudy;10.636.178.582.375.900;7.072.690.165.421.080;0;Yellow
01/01/2024;00.44.00;2;940;331.883.209.293.914;266;75;20;Cloudy;26.068.651.151.881.900;4.391.070.939.299.790;0;Yellow
01/01/2024;00.45.00;1;119;27.891.096.014.982.600;795;99;36;Rainy;3.231.856.357.490.880;36.491.171.692.802.300;0;Red
01/01/2024;00.46.00;2;474;7.142.777.359.137.690;610;65;11;Foggy;3.212.185.309.458.640;6.845.500.647.864.450;0;Red
01/01/2024;00.47.00;5;757;5.452.132.419.509.330;406;10;3;Rainy;27.488.611.844.138.600;6.139.098.405.109.290;0;Green
01/01/2024;00.48.00;2;830;2.458.309.669.948.730;721;97;46;Cloudy;21.644.254.887.448.100;8.394.871.730.670.090;0;Yellow
01/01/2024;00.49.00;4;610;4.295.481.941.423.810;578;89;8;Foggy;22.800.790.467.287.200;735.964.812.708.765;0;Red
01/01/2024;00.50.00;4;877;4.206.401.904.830.650;380;17;38;Foggy;13.422.970.599.891.500;6.058.454.700.255.720;0;Yellow
01/01/2024;00.51.00;4;691;3.090.435.144.256.770;885;84;41;Windy;18.525.427.327.980.000;54.215.368.245.908.800;0;Yellow
01/01/2024;00.52.00;4;566;4.613.045.752.833.140;507;99;27;Windy;1.469.320.188.745.680;5.426.248.197.424.920;0;Yellow
01/01/2024;00.53.00;5;477;3.992.596.192.358.810;371;51;22;Sunny;30.530.005.083.748.800;4.357.825.716.907.400;0;Red
01/01/2024;00.54.00;3;588;4.050.822.232.953.090;720;45;44;Windy;3.286.884.753.344.890;31.039.558.305.341.800;0;Yellow
01/01/2024;00.55.00;1;209;6.434.159.346.727.750;275;43;39;Foggy;23.423.081.535.502.900;6.449.463.529.242.630;0;Red
01/01/2024;00.56.00;4;198;33.395.803.130.311.700;241;21;43;Windy;281.941.010.128.236;4.274.488.395.139.290;0;Green
01/01/2024;00.57.00;2;825;5.851.159.753.132.130;772;52;21;Sunny;13.036.619.272.678.100;42.499.615.063.682.400;0;Green
01/01/2024;00.58.00;4;279;5.423.897.743.285.600;800;58;23;Cloudy;2.521.336.608.193.090;37.522.873.720.588.800;0;Red
01/01/2024;00.59.00;2;761;5.408.555.074.027.200;20;93;25;Windy;2.756.977.553.444.610;41.375.729.410.601.500;0;Yellow
01/01/2024;01.00.00;2;611;5.978.044.076.850.650;565;29;29;Foggy;2.131.920.323.778.500;3.190.734.897.330.820;0;Green
01/01/2024;01.01.00;4;116;52.902.922.171.739.200;465;7;32;Cloudy;16.081.827.111.767.400;7.045.388.698.491.190;0;Green
01/01/2024;01.02.00;5;861;7.275.530.689.078.300;98;97;15;Foggy;31.934.363.013.534.700;5.408.382.697.876.160;0;Red
01/01/2024;01.03.00;2;430;6.053.480.551.701.550;255;56;21;Cloudy;2.857.271.799.884.300;63.691.475.926.388.700;0;Red
01/01/2024;01.04.00;2;107;5.281.779.508.228.320;353;72;48;Foggy;3.249.643.204.622.980;6.821.745.708.124.790;0;Red
01/01/2024;01.05.00;4;308;697.857.872.172.587;368;19;49;Windy;30.460.066.187.445.500;8.834.907.373.656.950;0;Red
01/01/2024;01.06.00;2;391;5.636.879.389.600.870;117;24;42;Windy;3.475.936.073.947.150;3.409.595.195.133.000;0;Red
01/01/2024;01.07.00;2;887;3.746.865.486.711.070;101;18;17;Sunny;14.804.318.330.361.200;55.075.061.089.886.200;0;Red
01/01/2024;01.08.00;4;179;32.425.695.090.594.200;521;4;6;Cloudy;12.168.694.195.099.300;4.475.387.601.158.880;0;Red
01/01/2024;01.09.00;4;776;2.913.966.713.976.070;496;74;49;Sunny;1.842.506.978.343.140;5.860.271.591.140.880;0;Yellow
01/01/2024;01.10.00;1;221;739.673.127.527.661;723;78;25;Rainy;13.225.104.375.581.400;8.522.833.803.683.320;0;Yellow
01/01/2024;01.11.00;5;819;6.260.812.590.788.390;784;71;7;Windy;23.078.252.822.655.600;7.343.905.591.488.900;0;Yellow
01/01/2024;01.12.00;5;663;7.624.270.628.985.920;569;82;5;Cloudy;25.825.722.635.193.500;697.169.751.887.936;0;Yellow
01/01/2024;01.13.00;2;258;5.619.750.834.289.650;33;86;29;Sunny;24.457.215.379.335.000;5.647.475.258.587.060;0;Green
01/01/2024;01.14.00;5;852;4.840.405.288.969.470;411;26;38;Sunny;16.481.003.384.756.700;7.026.674.990.246.610;0;Yellow
01/01/2024;01.15.00;2;403;2.358.298.933.825.330;366;39;22;Rainy;3.272.060.077.421.990;31.942.522.636.464.400;0;Green
01/01/2024;01.16.00;1;520;6.029.853.689.276.170;329;95;31;Sunny;1.052.930.909.338.440;6.517.432.032.179.360;0;Green
01/01/2024;01.17.00;4;847;5.493.252.558.609.380;405;25;21;Foggy;18.700.333.844.087.300;63.226.593.755.954.800;0;Green
01/01/2024;01.18.00;4;165;7.941.253.361.525.720;228;26;41;Windy;27.974.811.884.951.500;5.079.842.591.779.150;1;Red
01/01/2024;01.19.00;4;313;3.434.952.666.693.450;376;61;42;Sunny;29.173.223.158.728.900;42.090.847.525.446.500;0;Green
01/01/2024;01.20.00;5;711;5.184.424.131.721.010;620;82;44;Sunny;20.402.963.610.796.400;7.845.333.305.995.800;0;Green
01/01/2024;01.21.00;1;861;5.905.744.010.708.430;587;49;8;Rainy;10.422.745.331.409.100;3.323.172.686.730.570;0;Green
01/01/2024;01.22.00;5;491;5.867.547.048.454.060;113;41;30;Foggy;25.451.091.978.093.400;3.418.037.186.541.520;0;Red
01/01/2024;01.23.00;5;597;5.367.761.257.690.410;112;28;6;Sunny;11.577.367.029.580.300;5.643.130.463.904.870;0;Yellow
01/01/2024;01.24.00;1;502;6.661.568.061.963.350;359;38;8;Windy;12.696.394.403.837.800;451.532.728.445.163;0;Yellow
01/01/2024;01.25.00;1;894;3.229.887.257.160.890;616;59;12;Windy;2.625.626.799.115.470;7.472.714.481.042.120;0;Green
01/01/2024;01.26.00;1;526;63.537.632.016.464.900;464;40;2;Sunny;1.781.220.815.357.130;6.805.140.461.527.140;0;Green
01/01/2024;01.27.00;1;336;5.718.407.428.598.530;776;32;34;Foggy;1.870.075.381.770.630;7.635.208.776.759.780;0;Yellow
01/01/2024;01.28.00;4;352;737.645.067.076.744;41;82;32;Windy;22.170.176.924.581.000;4.948.073.738.026.800;0;Yellow
01/01/2024;01.29.00;3;360;708.316.663.420.149;310;82;20;Windy;3.446.445.987.148.430;7.443.113.637.707.200;0;Yellow
01/01/2024;01.30.00;3;257;389.088.223.479.532;504;96;30;Foggy;3.413.605.551.846.770;8.173.819.416.158.390;0;Yellow
01/01/2024;01.31.00;1;667;36.574.239.498.509.100;803;15;33;Foggy;20.406.524.984.001.800;507.164.696.651.143;0;Green
01/01/2024;01.32.00;3;495;7.889.919.943.114.680;325;22;31;Sunny;16.637.480.430.457.000;5.039.374.926.971;0;Green
01/01/2024;01.33.00;3;719;51.635.910.854.915.300;653;6;34;Cloudy;17.564.803.816.602.800;8.399.708.423.438.550;1;Green
01/01/2024;01.34.00;1;682;7.438.525.783.486.620;147;25;14;Rainy;16.719.532.454.040.100;3.298.741.519.126.250;0;Yellow
01/01/2024;01.35.00;3;104;2.983.286.142.682.890;644;95;31;Cloudy;2.330.614.517.854.450;5.101.136.434.385.060;0;Red
01/01/2024;01.36.00;5;961;5.856.913.488.801.040;292;11;5;Cloudy;25.171.495.195.023.200;37.120.349.524.308.200;0;Yellow
01/01/2024;01.37.00;2;61;6.859.161.124.163.510;867;71;44;Windy;2.221.948.470.574.160;31.738.835.414.998.500;0;Yellow
01/01/2024;01.38.00;2;706;7.684.371.497.518.680;461;4;20;Foggy;20.199.859.056.203.800;3.677.216.505.880.930;0;Red
01/01/2024;01.39.00;1;449;4.024.040.846.102.140;522;91;32;Windy;15.282.125.939.248.400;55.874.747.470.816.600;0;Red
01/01/2024;01.40.00;4;957;63.498.870.195.443.100;149;68;31;Rainy;22.062.639.784.552.800;7.121.736.415.366.740;0;Yellow
01/01/2024;01.41.00;1;697;52.328.780.542.377.100;151;48;18;Sunny;1.852.756.784.506.140;4.735.694.546.651.770;0;Red
01/01/2024;01.42.00;4;564;2.363.773.556.398.800;616;25;32;Rainy;23.539.886.569.958.500;8.098.051.844.406.740;0;Red
01/01/2024;01.43.00;2;705;61.399.984.238.536.600;501;4;27;Windy;268.797.353.877.906;56.256.937.724.301;0;Red
01/01/2024;01.44.00;1;591;61.405.793.494.270.600;881;21;30;Windy;25.832.804.360.915.200;8.809.368.305.770.460;0;Yellow
01/01/2024;01.45.00;5;286;7.583.640.829.079.220;409;78;20;Windy;21.562.255.260.139.800;87.249.340.166.622;0;Yellow
01/01/2024;01.46.00;3;328;4.983.874.677.013.830;612;12;33;Windy;23.901.310.606.999.000;763.965.733.600.089;0;Red
01/01/2024;01.47.00;4;397;33.815.055.242.630.800;344;27;14;Cloudy;1.712.140.327.401.890;8.594.432.976.879.700;0;Green
01/01/2024;01.48.00;3;676;2.267.382.940.692.070;88;32;13;Sunny;10.606.006.475.559.700;724.257.645.696.667;0;Red
01/01/2024;01.49.00;3;153;4.493.853.120.115.430;679;22;18;Cloudy;25.625.486.354.202.600;8.373.499.139.947.080;0;Red
01/01/2024;01.50.00;1;679;3.811.500.200.465.010;467;96;42;Windy;16.314.213.978.442.100;4.418.842.304.197.830;0;Yellow
01/01/2024;01.51.00;3;566;6.566.529.836.143.250;547;17;14;Foggy;2.672.384.275.170.680;5.072.521.201.060.790;0;Green
01/01/2024;01.52.00;5;921;4.125.606.589.046.270;838;29;5;Cloudy;28.675.212.489.923.900;7.517.580.396.029.160;0;Red
01/01/2024;01.53.00;3;297;7.694.427.177.889.060;636;25;8;Windy;3.289.819.365.259.450;55.473.674.292.393.400;0;Green
01/01/2024;01.54.00;1;413;7.773.861.217.926.700;184;15;36;Windy;3.395.306.988.699.030;8.023.964.602.947.100;0;Yellow
01/01/2024;01.55.00;5;370;57.254.515.413.062.400;507;76;19;Sunny;10.263.151.157.742.500;826.583.322.952.665;0;Green
01/01/2024;01.56.00;2;682;7.571.961.722.089.290;732;38;33;Rainy;3.475.935.523.386.590;47.983.769.083.255.400;0;Yellow
01/01/2024;01.57.00;3;335;6.565.126.067.086.970;728;32;37;Cloudy;27.075.457.962.354.000;7.940.704.849.137.440;0;Red
01/01/2024;01.58.00;1;198;5.281.157.845.850.750;445;25;25;Cloudy;2.608.810.400.935.470;39.255.856.263.909;0;Yellow
01/01/2024;01.59.00;2;133;30.818.476.125.366.600;716;47;17;Cloudy;10.380.327.379.883.800;5.005.180.269.221.090;0;Green
01/01/2024;02.00.00;2;455;47.515.876.610.830.400;853;64;27;Windy;31.530.835.297.168.400;6.107.789.706.728.330;1;Green
01/01/2024;02.01.00;4;505;53.652.467.801.757.000;284;37;8;Sunny;13.637.286.181.195.600;4.358.662.572.623.350;0;Green
01/01/2024;02.02.00;5;792;7.183.769.484.410.060;894;1;31;Windy;30.933.253.848.326.000;6.475.606.977.451.190;0;Red
01/01/2024;02.03.00;3;849;4.888.000.259.213.980;631;5;5;Windy;103.890.636.564.679;6.472.170.472.305.870;0;Green
01/01/2024;02.04.00;1;210;738.604.803.606.774;361;45;13;Foggy;26.149.106.562.479.000;42.414.173.691.054.300;0;Green
01/01/2024;02.05.00;4;833;60.460.938.741.408.100;851;49;27;Sunny;20.870.038.344.245.600;777.384.806.931.274;0;Green
01/01/2024;02.06.00;5;509;2.821.994.378.322.020;745;37;23;Cloudy;15.019.168.226.483.300;6.789.866.936.468.980;0;Yellow
01/01/2024;02.07.00;4;599;7.969.888.215.950.550;297;87;12;Rainy;12.689.034.794.260.800;4.906.563.040.949.720;0;Green
01/01/2024;02.08.00;5;549;51.633.959.645.234.700;693;17;42;Cloudy;21.003.192.413.658.100;4.393.108.700.821.750;0;Yellow
01/01/2024;02.09.00;5;787;4.351.149.778.454.470;458;26;11;Windy;1.308.264.513.303.560;8.272.500.833.006.960;0;Green
01/01/2024;02.10.00;3;558;5.954.682.586.817.150;176;40;18;Sunny;22.161.165.292.276.100;8.014.453.471.347.910;0;Yellow
01/01/2024;02.11.00;5;703;26.533.598.838.862.300;441;71;20;Sunny;25.630.426.466.321.300;4.378.564.049.133.150;0;Yellow
01/01/2024;02.12.00;4;853;5.819.231.880.520.120;270;91;26;Sunny;30.684.604.840.183.900;32.136.313.590.990.500;0;Red
01/01/2024;02.13.00;5;530;4.989.416.002.995.630;897;73;18;Foggy;26.966.235.929.571.600;7.827.195.574.458.740;0;Red
01/01/2024;02.14.00;3;712;44.400.444.199.914.900;628;16;23;Cloudy;11.629.994.167.653.700;6.693.051.331.590.250;0;Yellow
01/01/2024;02.15.00;3;163;7.718.120.127.073.390;549;61;25;Foggy;1.768.581.331.369.590;3.605.292.168.320.750;0;Yellow
01/01/2024;02.16.00;4;798;51.352.383.003.923.100;346;28;44;Rainy;1.719.946.519.831.250;6.524.149.237.313.370;0;Red
01/01/2024;02.17.00;2;627;33.147.048.768.196.300;116;57;27;Windy;32.875.810.586.777.100;5.713.096.112.170.160;0;Yellow
01/01/2024;02.18.00;2;410;4.753.780.876.263.790;532;69;45;Foggy;31.694.551.109.819.000;7.647.301.964.842.140;0;Red
01/01/2024;02.19.00;5;390;7.516.324.427.436.030;235;77;17;Foggy;19.253.697.958.760.400;42.545.090.529.523.800;0;Red
01/01/2024;02.20.00;1;819;3.056.572.827.983.560;151;21;43;Windy;11.778.881.397.064.500;5.718.940.465.830.150;0;Green
01/01/2024;02.21.00;5;810;3.283.742.232.129.420;279;5;35;Sunny;3.235.268.294.511.830;39.374.646.855.115;0;Green
01/01/2024;02.22.00;4;498;20.781.774.065.425.000;144;25;41;Windy;3.220.474.882.410.460;874.516.336.686.508;0;Red
01/01/2024;02.23.00;4;892;20.851.402.963.746.000;101;38;28;Cloudy;31.368.653.300.768.100;7.672.428.941.550.980;1;Red
01/01/2024;02.24.00;4;884;6.976.349.761.751.070;302;11;16;Windy;3.112.704.094.338.750;7.420.334.559.008.370;0;Yellow
01/01/2024;02.25.00;4;229;63.927.356.410.577.300;702;98;3;Sunny;22.006.350.027.153.800;7.141.239.990.124.810;0;Red
01/01/2024;02.26.00;4;751;413.024.633.871.175;78;13;43;Windy;14.435.791.306.239.900;554.001.865.479.829;0;Red
01/01/2024;02.27.00;3;456;6.189.866.943.365.430;563;21;44;Foggy;21.937.201.261.560.600;8.539.694.494.218.860;0;Green
01/01/2024;02.28.00;2;715;4.371.235.557.859.820;180;50;28;Rainy;2.236.494.426.673.660;3.437.502.071.562.030;0;Red
01/01/2024;02.29.00;4;245;7.717.380.775.986.960;303;22;3;Foggy;2.224.829.383.112.150;7.819.554.430.073.710;0;Yellow
01/01/2024;02.30.00;1;515;7.802.316.088.556.200;125;47;9;Rainy;23.469.314.652.877.900;4.291.396.392.634.390;0;Red
01/01/2024;02.31.00;1;360;43.567.626.548.560.600;124;70;24;Windy;16.441.425.574.778.800;49.441.677.338.030.800;0;Green
01/01/2024;02.32.00;1;311;7.125.331.438.045.200;458;49;30;Cloudy;19.156.029.528.340.300;611.657.837.380.385;0;Green
01/01/2024;02.33.00;1;468;6.638.534.250.184.790;247;88;2;Windy;20.854.664.799.086.700;7.695.930.066.333.470;0;Green
01/01/2024;02.34.00;3;455;38.599.996.230.307.300;719;12;46;Sunny;13.278.030.237.912.400;803.120.944.592.242;0;Green
01/01/2024;02.35.00;1;988;3.392.238.973.406.630;601;84;1;Windy;21.384.103.364.037.500;650.239.350.096.075;0;Red
01/01/2024;02.36.00;4;192;4.749.407.902.357.000;337;9;24;Rainy;30.261.740.426.739.800;5.418.212.933.608.110;0;Yellow
01/01/2024;02.37.00;5;391;6.688.093.043.686.430;483;54;48;Foggy;30.701.488.568.321.900;867.901.452.841.926;0;Yellow
01/01/2024;02.38.00;1;365;7.761.006.708.372.470;821;8;5;Cloudy;20.289.094.297.525.700;447.912.777.503.621;0;Yellow
01/01/2024;02.39.00;3;150;6.581.474.413.199.430;618;78;25;Windy;2.297.020.780.210.880;7.818.567.455.283.810;0;Red
01/01/2024;02.40.00;3;293;713.124.191.011.022;893;51;7;Windy;10.841.258.303.376.400;6.672.297.728.688.910;0;Red
01/01/2024;02.41.00;1;539;5.618.385.837.023.090;491;1;34;Foggy;2.686.081.391.171.490;5.261.370.101.311.280;0;Red
01/01/2024;02.42.00;5;61;7.012.446.985.052.750;75;24;26;Cloudy;20.115.147.073.671.500;3.008.207.906.181.220;0;Yellow
01/01/2024;02.43.00;1;288;6.706.525.148.020.500;644;12;24;Windy;21.136.942.077.083.600;5.679.595.808.091.760;0;Red
01/01/2024;02.44.00;3;610;4.261.913.251.557.680;32;97;17;Windy;3.184.181.817.949.410;46.603.199.852.537.900;0;Red
01/01/2024;02.45.00;2;91;53.119.418.127.243.200;459;50;0;Rainy;2.154.586.086.401.520;3.626.079.679.953.360;0;Green
01/01/2024;02.46.00;4;727;6.828.518.731.938.160;37;57;47;Rainy;10.529.806.155.696.300;3.450.951.392.028.500;0;Green
01/01/2024;02.47.00;3;643;22.763.404.051.397.300;713;33;38;Sunny;1.568.727.227.172.650;5.085.349.963.869.610;0;Yellow
01/01/2024;02.48.00;1;478;6.848.475.694.134.970;132;34;2;Foggy;21.890.515.357.706.400;6.688.544.332.443.890;0;Green
01/01/2024;02.49.00;4;852;30.673.287.442.941.400;248;2;3;Cloudy;20.609.907.318.713.300;8.025.115.892.188.640;1;Green
01/01/2024;02.50.00;1;207;5.088.101.702.728.630;190;58;40;Windy;31.509.253.432.012.000;4.101.379.469.683.960;0;Green
01/01/2024;02.51.00;1;265;6.849.652.637.335.620;314;69;36;Windy;23.553.437.732.654.100;55.478.638.278.542.900;0;Red
01/01/2024;02.52.00;2;719;3.522.926.468.940.160;208;47;14;Sunny;27.240.893.547.878.000;5.351.736.840.852.910;0;Green
01/01/2024;02.53.00;4;511;3.474.844.635.836.910;445;63;7;Windy;21.733.082.426.086.700;6.080.364.055.251.090;0;Green
01/01/2024;02.54.00;4;183;44.165.863.907.735.100;98;18;37;Foggy;20.991.393.351.479.100;7.857.523.624.857.310;0;Green
01/01/2024;02.55.00;2;116;7.367.856.785.465.800;677;66;49;Sunny;21.157.166.711.858.700;6.321.871.307.995.400;1;Red
01/01/2024;02.56.00;3;897;20.026.566.886.232.400;201;81;18;Foggy;20.273.039.242.345.900;8.079.929.481.013.760;0;Yellow
01/01/2024;02.57.00;1;56;7.408.298.579.851.600;518;72;46;Sunny;23.464.584.646.355.000;6.111.310.536.413.860;1;Red
01/01/2024;02.58.00;5;997;29.228.421.478.496.400;817;75;25;Windy;1.626.108.504.384.000;6.623.084.191.087.620;0;Red
01/01/2024;02.59.00;1;575;7.940.518.256.404.890;781;4;38;Sunny;3.227.637.984.604.550;56.242.994.549.579.300;0;Green
01/01/2024;03.00.00;1;122;7.729.081.958.230.800;885;66;9;Rainy;18.327.138.702.346.800;7.938.573.481.773.800;0;Yellow
01/01/2024;03.01.00;3;448;49.680.511.375.476.900;845;10;37;Cloudy;13.688.095.854.433.600;8.542.963.238.187.910;0;Green
01/01/2024;03.02.00;1;454;50.763.214.868.757.600;727;93;13;Windy;12.413.761.964.943.600;6.834.868.428.738.870;0;Green
01/01/2024;03.03.00;2;724;4.889.296.041.655.120;854;67;48;Cloudy;10.335.572.878.003.100;7.924.694.695.037.420;0;Yellow
01/01/2024;03.04.00;2;627;58.126.618.739.571.300;90;68;40;Windy;20.571.401.964.171.500;33.540.200.039.946.000;0;Yellow
01/01/2024;03.05.00;4;908;25.443.302.134.095.800;267;0;18;Cloudy;14.690.274.713.635.600;8.436.670.508.679.940;0;Red
01/01/2024;03.06.00;5;179;2.195.707.690.049.390;165;90;29;Rainy;10.541.197.564.681.100;4.133.550.401.034.740;0;Yellow
01/01/2024;03.07.00;1;980;23.462.175.704.953.900;637;91;4;Cloudy;23.000.488.657.238.000;4.539.122.563.954.840;0;Red
01/01/2024;03.08.00;1;515;4.666.192.095.449.080;794;62;30;Sunny;26.999.463.716.269.000;33.199.804.092.404.700;0;Red
01/01/2024;03.09.00;3;255;36.532.876.353.169;315;28;6;Cloudy;1.214.377.627.277.760;8.792.400.701.844.350;0;Green
01/01/2024;03.10.00;2;837;5.732.237.374.225.960;601;81;18;Windy;2.152.301.932.299.140;8.112.065.096.930.250;0;Green
01/01/2024;03.11.00;5;817;7.954.653.736.248.670;489;11;30;Foggy;28.590.716.965.018.600;8.479.107.624.546.500;0;Green
01/01/2024;03.12.00;4;315;43.179.390.384.587.900;525;76;38;Cloudy;3.464.517.052.521.060;808.329.700.656.009;0;Yellow
01/01/2024;03.13.00;2;586;544.304.752.462.708;212;40;23;Cloudy;2.667.975.861.606.400;58.771.833.163.277.300;0;Yellow
01/01/2024;03.14.00;4;842;44.936.233.754.440.100;87;1;33;Cloudy;16.120.988.770.238.000;8.544.491.604.544.580;0;Red
01/01/2024;03.15.00;3;302;7.083.630.006.331.150;513;36;22;Windy;27.913.840.994.474.900;881.683.692.256.313;0;Red
01/01/2024;03.16.00;3;871;7.413.418.420.773.420;836;44;47;Cloudy;24.948.235.670.495.700;6.015.401.860.736.380;0;Red
01/01/2024;03.17.00;1;338;7.264.133.673.231.560;71;79;44;Windy;15.294.982.214.538.600;40.537.486.879.730.200;0;Yellow
01/01/2024;03.18.00;5;213;7.846.233.432.075.540;382;47;39;Windy;31.277.770.646.188.800;6.951.735.053.778.560;1;Red
